District,State,Birth_Registration,Electricity,Drinking_Water,Sanitation,Clean_Fuel,Health_Insurance,Female_Literacy,Female_10Y_Schooling,Early_Marriage,Adolescent_Pregnancy,Menstrual_Hygiene,ANC_First_Trimester,ANC_4plus,Postnatal_Care,Institutional_Births,Skilled_Birth_Attendance,Fully_Vaccinated,Vitamin_A,Diarrhoea_Prevalence,Stunting,Wasting,Underweight,Child_Anaemia,Infrastructure_Score,Education_Gender_Score,Maternal_Health_Score,Child_Health_Score,Child_Health_Indicators_Available,Overall_Development_Score,Development_Rank
Nicobars,Andaman & Nicobar Islands,0.9589012804626189,0.9336492890995263,0.9797687861271677,0.7677382806967853,0.5299407764860715,0.015521523178807946,0.8007198952879583,0.5353982300884955,0.8028120118035064,0.9350696991929567,1.0,0.4974072052401747,0.7136493795736557,0.8068669527896996,0.9721374045801527,0.979727772951057,,0.9545776142634784,0.8562706690409565,0.8223393045310852,0.7422538443883406,0.6842963231298678,0.8191866232109961,0.6975866560084962,0.8147999672745833,0.793957743026948,0.8131540630941206,6,0.7798746073510371,99
North & Middle Andaman,Andaman & Nicobar Islands,1.0,0.7864139020537123,0.8673920435226115,0.8092338195722986,0.5773195876288659,0.009519867549668874,0.742964659685864,0.3677929739876642,0.7330324596424231,0.859501100513573,1.0,0.6569323144104803,0.7936154417223459,0.9066523605150214,0.9707379134860054,0.9758181291630466,,0.6439790575916231,0.8845077588399899,0.7079030558482614,0.48336011016754654,0.35464589748234027,0.922488309479949,0.6749798700545261,0.7406582387659049,0.8607512318593799,0.6661473649016183,6,0.7356341763953572,200
South Andaman,Andaman & Nicobar Islands,0.9283353985956216,0.9867298578199052,0.9649778986739204,0.8510126044469623,0.9136872121079184,0.0,0.7864856020942409,0.5886296594261194,0.7038708557542093,0.896918561995598,0.980170902716915,0.7243449781659389,0.8652030968289319,0.8476394849785407,0.9931297709923665,0.9545322907616566,,0.7994905900665064,0.8476214703637751,0.8324552160168598,0.8127151709892129,0.8141641007063938,0.7386991639506872,0.7741238286073879,0.7912151163974166,0.8769699243454869,0.8075242853489059,6,0.8124582886747993,53
Srikakulam,Andhra Pradesh,0.8959107806691449,0.9971563981042653,0.791397483849031,0.5996317802011047,0.7248300065803904,0.7706953642384105,0.4208115183246072,0.3876374363100026,0.5591043221662906,0.7997065297138665,0.7584355828220859,0.7283024017467249,0.7853430904655848,0.8835836909871244,0.9737913486005089,0.9475818129163046,,0.5957266166690252,0.6972780462986518,0.863013698630137,0.6545788386504475,0.7415323310994385,0.5082896414907184,0.7966036356070578,0.5851390778673705,0.8637204689432496,0.6767365288064031,6,0.7305499278060203,215
Vizianagaram,Andhra Pradesh,0.9054109871953738,0.9848341232227487,0.8826929615776946,0.4602747486191758,0.5669006361044088,0.7816639072847681,0.3226439790575916,0.3222043443282381,0.414684950529422,0.5326485693323552,0.6989482909728308,0.6790393013100436,0.710467706013363,0.7907725321888411,0.987404580152672,0.9653924123950188,,0.8263761143342296,0.8089544645128467,0.5102212855637513,0.661005278861602,0.5464589748234016,0.40725520759529554,0.7636295606673617,0.45822602684408753,0.8266153064119877,0.6267118876151878,6,0.6687956953846561,369
Visakhapatnam,Andhra Pradesh,0.8042131350681536,0.9864139020537123,0.8602516150969058,0.6872964169381107,0.7047598157490678,0.6598716887417219,0.5062172774869111,0.43416465540359334,0.5589307411907656,0.6515040352164344,0.843558282208589,0.7248908296943231,0.5751405239155796,0.8027092274678111,0.9395674300254453,0.9181870836953373,,0.9027876043582852,0.7934367845331978,0.6248682824025289,0.6082166628414046,0.5225502626335808,0.3240753861414199,0.7838010956079454,0.5988749983012587,0.7920990189596993,0.6293224971517362,6,0.7010244025051597,295
East Godavari,Andhra Pradesh,0.8548120611317637,0.9627172195892573,0.9639578374702481,0.6867299249398103,0.7866856766834832,0.6747723509933774,0.6425065445026179,0.3970233306516492,0.5488630446103108,0.7718268525311812,0.6819675723049956,0.6824508733624454,0.4941139039134585,0.897934549356223,0.9571246819338421,0.8530263538951636,,0.763265883684732,0.6611549224116001,0.7903055848261328,0.7734679825568052,0.7250498098170621,0.40697180104860414,0.8216125118013232,0.6084374689201509,0.7769300724922266,0.6867026640574894,6,0.7234206793177975,239
West Godavari,Andhra Pradesh,0.8659644774886411,0.9791469194312797,0.9841890513430804,0.7299249398102253,0.8578635665716166,0.6872930463576158,0.6277814136125655,0.4407347814427459,0.6165596250650928,0.5102714600146736,0.829535495179667,0.7626910480349344,0.619047619047619,0.9364270386266094,0.9834605597964379,0.9778453518679409,,0.6568558086882694,0.9310607987789367,0.6147523709167544,0.8336011016754648,0.7232385437420759,0.4696046478673657,0.8507303335004098,0.6049765550629489,0.8558943234747083,0.7048522119448112,6,0.7541133559957195,162
Krishna,Andhra Pradesh,0.9258570838496488,0.985781990521327,0.9044542672560353,0.7066987678799038,0.890655845580171,0.6925703642384106,0.6258180628272251,0.436712255296326,0.5604929699704913,0.6478356566397653,0.9188212094653813,0.7528657205240173,0.7311485841552656,0.8503218884120172,0.9863867684478372,0.9714740805097017,,0.7568982595160607,0.801322818621216,0.6484720758693361,0.7753041083314207,0.7471472559318963,0.4219923480232393,0.8510030532209162,0.6379360308398379,0.8584394084097677,0.6918561443821948,6,0.7598086592131792,152
Guntur,Andhra Pradesh,0.8418009087154069,0.9744075829383886,0.9872492349540972,0.7675966576972101,0.9107260364114937,0.7236134105960265,0.4888743455497383,0.2548940734781442,0.3860440895677834,0.24064563462949384,0.8682077125328659,0.8609443231441047,0.6162901686286987,0.9262339055793991,0.9823155216284989,0.935418476686939,,0.7457195415310599,0.7445942508267617,0.7753424657534246,0.6935965113610283,0.6429994566201775,0.5129658495111237,0.8675656385521039,0.4477331711516051,0.8642404791335281,0.6858696792672627,6,0.7163522420261249,257
Prakasam,Andhra Pradesh,0.7325485336637753,0.9769352290679304,0.9756885413124786,0.6966435349100696,0.9011844702785698,0.6873965231788078,0.3964332460732984,0.28077232502011257,0.3528901232424926,0.3976522377109317,0.8536371603856266,0.7972161572052401,0.7322091420086966,0.874061158798283,0.9669211195928754,0.969881262670142,,0.7424649780670726,0.7995421012465022,0.8018967334035826,0.9019967867798944,0.6833906900923746,0.4657786594870342,0.8283994720686052,0.4562770184864924,0.8680577680550474,0.7325116581794101,6,0.7213114791973888,241
Sri Potti Sriramulu Nello,Andhra Pradesh,0.7540272614622058,0.9718799368088468,0.9257055423325399,0.743662370769013,0.8329677560868611,0.7359271523178806,0.5212696335078533,0.33614910163582723,0.5861829543482033,0.45451210564930306,0.8248247151621385,0.8546670305676856,0.7274366316682574,0.9460836909871243,0.9618320610687023,1.0,0.4272757255936675,0.7004386585538418,0.7725769524294074,0.6615384615384615,0.7080560018361258,0.625611302300308,0.3971942751877568,0.8273616699628911,0.5445877020606651,0.8980038828583539,0.6132416253485099,7,0.720798720057605,243
